id	type
TCGA-50-8459-01	2
TCGA-55-1594-01	2
TCGA-78-7155-01	2
TCGA-MP-A4T8-01	2
TCGA-05-5420-01	2
TCGA-55-8615-01	2
TCGA-78-7633-01	2
TCGA-95-7947-01	2
TCGA-95-8494-01	2
TCGA-97-8174-01	2
TCGA-L4-A4E6-01	2
TCGA-MP-A4SV-01	2
TCGA-NJ-A55R-01	2
TCGA-05-4384-01	2
TCGA-05-4432-01	2
TCGA-73-4659-01	2
TCGA-86-7701-01	2
TCGA-91-6831-01	2
TCGA-97-A4M2-01	2
TCGA-05-4397-01	2
TCGA-05-5423-01	2
TCGA-44-2662-01	2
TCGA-55-1592-01	2
TCGA-62-A46P-01	2
TCGA-78-7152-01	2
TCGA-97-7937-01	2
TCGA-NJ-A4YG-01	2
TCGA-44-6146-01	2
TCGA-44-7671-01	2
TCGA-49-AAR2-01	2
TCGA-55-7903-01	2
TCGA-55-8085-01	2
TCGA-62-A471-01	2
TCGA-86-8669-01	2
TCGA-93-A4JP-01	2
TCGA-53-A4EZ-01	2
TCGA-55-6642-01	2
TCGA-64-1680-01	2
TCGA-97-8176-01	2
TCGA-MN-A4N5-01	2
TCGA-05-4410-01	2
TCGA-50-5946-01	2
TCGA-55-8505-01	2
TCGA-62-8399-01	2
TCGA-78-7156-01	2
TCGA-86-7955-01	2
TCGA-91-7771-01	2
TCGA-35-5375-01	2
TCGA-44-7662-01	2
TCGA-49-AAR9-01	2
TCGA-55-6968-01	2
TCGA-55-6975-01	2
TCGA-64-5779-01	2
TCGA-78-7160-01	2
TCGA-86-8054-01	2
TCGA-86-8673-01	2
TCGA-95-7567-01	2
TCGA-99-8032-01	2
TCGA-MP-A4SY-01	2
TCGA-05-5429-01	2
TCGA-44-6148-01	2
TCGA-50-7109-01	2
TCGA-55-7570-01	2
TCGA-55-8620-01	2
TCGA-64-5774-01	2
TCGA-64-5778-01	2
TCGA-78-7163-01	2
TCGA-MN-A4N1-01	2
TCGA-44-2656-01	2
TCGA-44-6778-01	2
TCGA-44-7669-01	2
TCGA-69-7978-01	2
TCGA-73-4675-01	2
TCGA-78-7150-01	2
TCGA-78-8640-01	2
TCGA-86-8672-01	2
TCGA-91-6848-01	2
TCGA-91-A4BC-01	2
TCGA-44-8120-01	2
TCGA-50-5936-01	2
TCGA-55-5899-01	2
TCGA-55-8301-01	2
TCGA-64-1676-01	2
TCGA-86-8073-01	2
TCGA-05-4415-01	2
TCGA-05-5428-01	2
TCGA-35-3615-01	2
TCGA-49-AAR0-01	2
TCGA-86-8585-01	2
TCGA-MN-A4N4-01	2
TCGA-55-6980-01	2
TCGA-55-8089-01	2
TCGA-55-8206-01	2
TCGA-69-7765-01	2
TCGA-78-7542-01	2
TCGA-86-A4JF-01	2
TCGA-L9-A743-01	2
TCGA-MP-A4TE-01	2
TCGA-55-1596-01	2
TCGA-62-8398-01	2
TCGA-55-7576-01	2
TCGA-55-8302-01	2
TCGA-44-5643-01	2
TCGA-55-8507-01	2
TCGA-MP-A4SW-01	2
TCGA-55-6969-01	2
TCGA-86-6562-01	2
TCGA-86-8359-01	2
TCGA-NJ-A4YP-01	2
TCGA-44-2668-01	2
TCGA-49-AAR4-01	2
TCGA-55-8094-01	2
TCGA-86-8674-01	2
TCGA-93-A4JQ-01	2
TCGA-NJ-A7XG-01	2
TCGA-86-A4D0-01	2
TCGA-50-5930-01	2
TCGA-86-8279-01	2
TCGA-73-4676-01	2
TCGA-78-7535-01	2
TCGA-86-8358-01	2
